支持产品类型,厂商（列表没有，需要在TESTLINK加）,执行类型（手动1，自动2）,用例优先级（1高，2中，3低）,一级目录（不能为空，列表没有，需要在TESTLINK加）,二级目录（不能为空，列表没有，需要在TESTLINK加）,用例名（不能重）,摘要,前提条件,步骤,期望结果,,,,,,,,,
All,All,1,1,自激活,main进程自激活,重启验证自激活1,首次启动,"1、被测APK预置在System/app或system/priv-app内
2、打开DDMS，手机已通过USB线连接电脑
3、被测APK在AndroidManifest.xml中静态注册了BReceiver


","全新内置，不启动vlife引擎
1、重启手机，在DDMS中通过“start proc”关键字查询应用程序（com.vlife.xxxx.wallpaper）是否自启动
2、手机重启后，进入data/data/vlife目录下查看userinfo.xml文件。","1. 重启手机后，应用程序可以自启动
2. 目录中，会有shared_prefs目录，里面的userinfo.xml会记录first_run_time的时间。
若checkrunday=0，目录中也会有shared_prefs目录，里面的userinfo.xml会记录",,,,,,,,,
All,All,1,1,自激活,main进程自激活,重启验证自激活2,非首次启动,"
2、打开DDMS，手机已通过USB线连接电脑
3、被测APK在AndroidManifest.xml中静态注册了BReceiver


","已启动过vlife引擎
1、重启手机，在DDMS中通过“start proc”关键字查询应用程序（com.vlife.xxx.wallpaper）是否自启动
","重启手机后，应用程序可以自启动
",,,,,,,,,
All,All,1,1,自激活,main进程自激活,切网验证自激活1,首次启动,"打开DDMS，手机已通过USB线连接电脑，wifi正常联网情况下,进程不在","1、关闭wifi，在DDMS中通过“start proc”关键字查询应用程序（com.vlife.xxxx.wallpaper）是否自启动
","关闭wifi后，应用程序可以自启动
",,,,,,,,,
All,All,1,1,自激活,main进程自激活,切网验证自激活2,非首次启动,打开DDMS，手机已通过USB线连接电脑，wifi正常联网情况下，进程不在,"已启动过vlife引擎
1、关闭wifi，在DDMS中通过“start proc”关键字查询应用程序（com.vlife.xxxx.wallpaper）是否自启动
",关闭wifi后，应用程序可以自启动,,,,,,,,,
All,All,1,1,自激活,main进程自激活,安装验证自激活,,已安装微乐引擎，main进程不在,"1、随意安装一个软件
2、在DDMS中通过“start proc”关键字查询应用程序（com.vlife.xxxx.wallpaper）是否自启动",安装成功后，应用程序可以自启动,,,,,,,,,
All,All,1,1,自激活,main进程自激活,卸载验证自激活,,已安装微乐引擎，main进程不在,"1、随意卸载一个软件
2、在DDMS中通过“start proc”关键字查询应用程序（com.vlife.xxxx.wallpaper）是否自启动",覆盖安装成功后，应用程序可以自启动,,,,,,,,,
All,All,1,1,自激活,main进程自激活,插入sd卡验证自激活,,手机内无sd卡,"1、插入sd卡
2、在DDMS中通过“start proc”关键字查询应用程序（com.vlife.xxxx.wallpaper）是否自启动",插入sd卡，应用程序可以自启动,,,,,,,,,
All,All,1,1,自激活,main进程自激活,拔出sd卡验证自激活,,手机内有sd卡,"1、拔出sd卡
2、在DDMS中通过“start proc”关键字查询应用程序（com.vlife.xxxx.wallpaper）是否自启动",拔出sd卡，应用程序可以自启动,,,,,,,,,
All,All,1,1,自激活,main进程自激活,被杀/自杀进程自激活,,,"1、资源管理器杀掉主进程或主进程已自杀
2、向后调整时间1天，触发定期联网",主进程启动,,,,,,,,,
All,All,1,1,自激活,保活,锁屏进程拉活主进程,,"1、真锁屏合作
2、满足三小时时间间隔","1、cmd命令“adb shell am force-stop com.vlife.xxx.wallpaper”杀掉主进程
2、向后调整时间3小时
3、查看主进程状态",主进程启动,,,,,,,,,"1.老版本只有使用我们锁屏时才可以3小时拉活主进程
2.新版本不管使用或者是未使用我们，都可以每隔3小时拉活一次主进程"
All,All,1,1,自激活,兼容,兼容测试,双imei（双卡）手机,手机有双imei,测试以上场景,功能正常,,,,,,,,,
All,All,1,1,启动注册,注册,"主进程首次注册
","首次向服务器发送请求-生成uid-主进程
",开启wifi/grps,"1、未启动主进程的情况下，通过以上自激活方式激活进程或者通过启动杂志/主题进行激活；
2、通过key:uid关键字查看主进程在服务器端注册log中的uid信息；
3、通过jabber:iq:reg 关键字查看注册包","2、首次启动主进程，通过key:uid关键字可以查到客户端在服务器端注册log中的uid信息；
3.通过jabber:iq:reg 关键字可以查看注册包内容",,,,,,,,,
All,All,1,1,启动注册,注册,主进程清缓存重新注册,清缓存，再注册可生成新uid-主进程,开启wifi/grps,"1、保持上面第13行用例的基础上；
2、查询到uid后，清空应用程序缓存（adb shell pm clear package_name）；
3、再次通过自激活方式激活进程或者通过启动杂志/主题进行激活；
4、通过key:uid关键字查看主进程在服务器端注册log中的uid信息。","清空应用程序缓存后主进程再次向服务器发送请求，重新生成新的uid（第2步与第4步uid不同）。
",,,,,,,,,
All,All,1,1,启动注册,注册,主进程首次注册-无自激活,"首次向服务器发送请求-生成uid-主进程
",开启wifi/grps,"1、未启动主进程的情况下，通过预览主题/壁纸进行激活；
2、通过key:uid关键字查看主进程在服务器端注册log中的uid信息；
3、通过jabber:iq:reg 关键字查看注册包
注：执行前确认项目形态","2、预览主题或壁纸后，通过key:uid关键字可以查到客户端在服务器端注册log中的uid信息；
3.通过jabber:iq:reg 关键字可以查看注册包内容",,,,,,,,,
All,All,1,1,启动注册,注册,主进程清缓存重新注册-无自激活,清缓存，再注册可生成新uid-主进程,开启wifi/grps,"1、执行上面第15行用例；
2、查询到uid后，清空应用程序缓存（adb shell pm clear package_name）；
3、再次通过预览主题/壁纸进行激活进行激活；
4、通过key:uid关键字查看主进程在服务器端注册log中的uid信息。
注：执行前确认项目形态","清空应用程序缓存，预览主题或壁纸后，主进程再次向服务器发送请求，重新生成新的uid（第2步与第4步uid不同）。
",,,,,,,,,
